- 1.590067, 2.497201, 0.000000
- -0.356520, 2.438138, 0.000000
- 1.577418, 0.449937, 0.000000
- 1.447827, -1.525542, 0.000000
- -0.466833, -1.517461, 0.000000
- -0.506381, 0.429861, 0.000000
- -2.484022, 0.403176, 0.000000
- -2.503098, -1.443786, 0.000000
- -2.419644, 2.463508, 0.000000
- 0.250913, 1.186149, 0.000000
- -1.222034, 1.223614, 0.000000
- -1.302811, -0.400265, 0.000000
- 0.208142, -0.205521, 0.000000
- 1.385563, -2.475665, 0.000000
- -0.335049, -2.522232, 0.967136
- -2.445699, -2.456279, 0.000000
- 1.408316, -2.551318, 0.000000
- -0.422069, -2.386977, 0.000000
- -2.245588, -2.356683, 0.000000
- 2.917317, 1.571840, 0.000000
- 2.847812, 0.608854, -0.736342
- 2.440732, -0.429519, 0.000000
- 2.421163, -1.393239, 0.000000
