- -2.133904, -2.172938, 0.707107
- 0.175264, -1.898712, 0.000000
- 2.876443, -1.470762, 0.392817
- 2.278291, -0.133675, 0.267183
- 1.179183, 2.270430, 0.702450
- -2.106863, 1.923279, -0.713301
- -3.067431, -0.265286, 0.892734
- -0.334900, -0.124523, 0.076170
- 3.283024, 1.576492, 0.000000
- 3.480363, 0.390334, 0.000000
- 3.900342, -0.839656, 0.000000
- 3.933148, -1.891146, 0.000000
- 3.393468, -2.650419, 0.000000
- 2.526971, -2.723040, 0.000000
- 1.459447, -2.683661, 0.000000
- 0.432967, -2.682116, -0.721453
- -0.385279, -2.605556, 0.000000
- -1.096327, -2.764256, 0.000000
- -1.942372, -2.738364, 0.973233
- -3.114577, -1.688799, 0.973239
- 14.277715, 2.476886, 0.963702
