(0, -2.1339035034179688, -2.172938108444214, 0.7071067811865475)
(1, 0.1752643585205078, -1.898712158203125, 0.0)
(2, 2.8764429092407227, -1.4707622528076172, 0.39281655181367375)
(3, 2.2782912254333496, -0.13367533683776855, 0.2671826987445758)
(4, 1.1791834831237793, 2.270429849624634, 0.702450125427508)
(5, -2.106863021850586, 1.9232792854309082, -0.713301093472892)
(6, -3.0674314498901367, -0.26528602838516235, 0.8927341080311089)
(7, -0.33489990234375, -0.12452256679534912, 0.07616968659802814)
(8, 3.283024311065674, 1.5764923095703125, 0.0)
(9, 3.480362892150879, 0.3903341293334961, 0.0)
(10, 3.9003419876098633, -0.839655876159668, 0.0)
(11, 3.9331483840942383, -1.8911457061767578, 0.0)
(12, 3.3934683799743652, -2.650419235229492, 0.0)
(13, 2.5269713401794434, -2.7230396270751953, 0.0)
(14, 1.4594473838806152, -2.683661460876465, 0.0)
(15, 0.4329671859741211, -2.6821155548095703, -0.7214528991964483)
(16, -0.38527917861938477, -2.6055564880371094, 0.0)
(17, -1.096327304840088, -2.7642555236816406, 0.0)
(18, -1.9423718452453613, -2.7383642196655273, 0.9732330623988922)
(19, -3.114577293395996, -1.6887989044189453, 0.9732393869746131)
(20, 14.277714729309082, 2.4768857955932617, 0.963702481779003)
